No,Codigo,Departamento,Municipio,Latitud,Longitud,Nombre Establecimiento,Direccion
17922,17-09-0312-43,PETEN,SAN LUIS,16.196674,-89.445636,ESCUELA OFICIAL RURAL MIXTA DE EDUCACION ESPECIAL,BARRIO TIKAJAL
17923,17-12-0116-43,PETEN,POPTUN,16.33049,-89.445269,EORM,"COLONIA LOURDES, BARRIO SANTA MARIA"
17924,17-12-0117-42,PETEN,POPTUN,16.33049,-89.445269,EODP ANEXA A EORM,"COLONIA LOURDES, BARRIO SANTA MARIA"
17925,17-12-0007-42,PETEN,POPTUN,16.380223,-89.444681,EODP,CASERIO REGIONAL ALDEA MACHAQUILA
17926,17-12-0071-43,PETEN,POPTUN,16.380223,-89.444681,EORM,CASERIO REGIONAL ALDEA MACHAQUILA
17927,17-09-0273-45,PETEN,SAN LUIS,16.201767,-89.444444,INEB,BARRIO TIKAJAL
17928,17-09-1077-43,PETEN,SAN LUIS,16.200815,-89.443879,EORM MAYA MOPAN/CASTELLANO,BARRIO TIKAJAL
17929,17-09-2798-42,PETEN,SAN LUIS,16.200815,-89.443879,EODP ANEXA EORM,BARRIO TIKAJAL
17930,17-12-0376-43,PETEN,POPTUN,16.422128,-89.443876,EORM,CASERIO SANTO DOMINGO
17931,17-12-2472-42,PETEN,POPTUN,16.422128,-89.443876,EODP ANEXA EORM,CASERIO SANTO DOMINGO
17932,17-09-0296-41,PETEN,SAN LUIS,16.20068,-89.44373,COPB,BARRIO TIKAJAL
17933,17-12-0396-45,PETEN,POPTUN,16.392827,-89.443626,IEBC DE ENSE??ANZA POR EL SISTEMA DE COOPERATIVA,ALDEA MACHAQUILA
17934,17-12-3712-46,PETEN,POPTUN,16.392827,-89.443626,INSTITUTO DIVERSIFICADO POR COOPERATIVA,ALDEA MACHAQUILA
17935,17-09-0309-42,PETEN,SAN LUIS,16.202459,-89.443092,EODP,BARRIO EL ESTADIO
17936,17-09-0290-42,PETEN,SAN LUIS,16.200536,-89.442024,EODP ANEXA A EOUM,BARRIO VISTA HERMOSA
17937,17-09-0315-42,PETEN,SAN LUIS,16.200649,-89.441967,EODPEE,BARRIO TIKAJAL
17938,17-09-0203-42,PETEN,SAN LUIS,16.200779,-89.441511,EODP ANEXA A EOUM,BARRIO EL CENTRO
17939,17-09-0205-43,PETEN,SAN LUIS,16.201259,-89.441379,EOUM,BARRIO VISTA HERMOSA
17940,17-09-1074-43,PETEN,SAN LUIS,16.201259,-89.441379,EOUM,BARRIO VISTA HERMOSA
17941,17-09-2209-42,PETEN,SAN LUIS,16.201256,-89.441374,EODP ANEXA A EOUM,BARIO VISTA HERMOSA
17942,17-12-0137-43,PETEN,POPTUN,16.35189,-89.44114,EORM,COLONIA LA MURALLA
17943,17-09-0018-42,PETEN,SAN LUIS,16.207623,-89.441027,EODP BARRIO LA FLORIDA,"BARRIO LA FLORIDA SAN LUIS, PETEN"
17944,17-09-0045-43,PETEN,SAN LUIS,16.207623,-89.441027,EORM BARRIO LA FLORIDA,BARRIO LA FLORIDA
17945,17-09-0114-43,PETEN,SAN LUIS,16.207623,-89.441027,EORM BARRIO LA FLORIDA,BARRIO LA FLORIDA
17946,17-09-0162-42,PETEN,SAN LUIS,16.20759,-89.4409,EODP ANEXA A EORM,BARRIO LA FLORIDA
17947,17-12-0011-42,PETEN,POPTUN,16.387115,-89.440828,EODP,BARRIO LAS FLORES MACHAQUILA
17948,17-12-0047-43,PETEN,POPTUN,16.387115,-89.440828,EORM,BARRIO LAS FLORES MACHAQUILA
17949,17-09-3465-42,PETEN,SAN LUIS,16.194891,-89.440599,EODP ANEXA A EORM,BARRIO BETHEL
17950,17-09-3466-43,PETEN,SAN LUIS,16.194891,-89.440599,EORM,BARRIO BETHEL
17951,17-09-0165-42,PETEN,SAN LUIS,16.14608,-89.43914,EODP ANEXA A EORM,CASERIO CHINCHILA ARRIBA
17952,17-09-0224-43,PETEN,SAN LUIS,16.146128,-89.439075,EORM,CASERIO CHINCHILA ARRIBA
17953,17-12-0138-42,PETEN,POPTUN,16.352004,-89.438947,EODP ANEXA A EORM,COLONIA LA MURALLA
17954,17-09-0017-42,PETEN,SAN LUIS,16.199091,-89.438304,EODP BARRIO EL PARAISO,BARRIO EL PARAISO
17955,17-09-0061-43,PETEN,SAN LUIS,16.199091,-89.438304,EORM BARRIO EL PARAISO,BARRIO EL PARAISO
17956,17-09-0115-43,PETEN,SAN LUIS,16.199091,-89.438304,EORM BARRIO EL PARAISO,BARRIO EL PARAISO
17957,17-09-0140-42,PETEN,SAN LUIS,16.199087,-89.4383,EODP ANEXA A EORM,BARRIO EL PARAISO
17958,17-01-0018-43,PETEN,FLORES,16.972391,-89.437333,EORM,CASERIO LOS TULIPANES
17959,17-01-0068-42,PETEN,FLORES,16.972382,-89.437309,EODP ANEXA A EORM,ALDEA LOS TULIPANES
17960,17-12-0090-42,PETEN,POPTUN,16.325444,-89.43441,EODP ANEXA A EORM,BARRIO PIONEROS DE LA PAZ BARRIO SANTA MARIA
